News,Fake
"['there', 'tremend', 'tax', 'pay', 'american', 'busi', 'go', 'china', 'wherea', 'china', 'sell', 'us', 'there', 'tax']",0
"['proud', 'almost', '30', 'year', 'public', 'servic', 'scandal']",1
"['pat', 'toomey', 'advoc', 'elimin', 'corpor', 'tax']",1
"['health', 'care', 'reform', 'requir', 'use', 'feder', 'dollar', 'fund', 'abort', 'government-run', 'health', 'plan']",1
"['lot', 'cuba', 'surviv', 'depend', 'venezuelan', 'oil', 'money', 'dri']",1
"['ri', 'board', 'elect', 'heard', 'offici', 'testimoni', 'provid', 'resid', 'claim', 'wit', 'known', 'illeg', 'alien', 'vote', 'local', 'elect']",0
"['say', 'obama', 'call', 'kagan', 'moder', 'call', 'sotomayor', 'moder']",1
"['today', 'everi', 'day', 'estim', '14,000', 'american', 'lose', 'health', 'insur', 'coverag']",0
"['darryl', 'hick', 'seven', 'ethic', 'violat', 'didnt', 'pay', 'fine']",1
"['sinc', 'presid', 'obama', 'came', 'offic', 'anoth', '2', 'million', 'hispan', 'join', 'rank', 'poverti', 'number', 'hispan', 'children', 'live', 'poverti', 'increas', '15', 'percent', 'short', 'period', 'time']",0
"['top', '1', 'percent', 'recent', 'year', 'earn', '85', 'percent', 'new', 'incom']",1
"['forti', 'percent', 'fortun', '500', 'start', 'either', 'immigr', 'children', 'immigr']",1
"['group', 'organ', 'texa', 'muslim', 'capitol', 'day', 'austin', 'recent', 'list', 'one', '82', 'organ', 'design', 'terrorist', 'group', 'unit', 'arab', 'emir']",1
"['go', 'look', 'trump', 'product', 'theyr', 'made', 'china']",0
"['nearli', '6', '10', 'believ', 'money', 'wealth', 'evenli', 'distribut', 'among', 'larger', 'percentag', 'peopl', 'u']",1
"['public', 'educ', 'perman', 'cutbi', '6', 'billion', 'chang', 'standard', 'qualiti', 'fund', 'formula']",1
"['presid', 'went', 'unit', 'nation', 'castig', 'israel', 'build', 'settlement', 'said', 'noth', 'thousand', 'rocket', 'rain', 'israel', 'gaza', 'strip']",0
"['current', 'state', 'bill', 'restrict', 'voter', 'id', 'legisl', 'nation']",1
"['presid', 'obama', 'border', 'patrol', 'border', 'secur', 'deploy', 'border', 'previou', 'presid']",1
"['say', 'gop', 'pick', 'convent', 'citi', 'recommend', 'ohio']",0
"['washington', 'incentiv', 'militar', 'local', 'polic', 'precinct']",1
"['say', 'never', 'member', 'georgia', 'log', 'cabin', 'republican']",0
"['spring', '2014', 'parent', '60,000', 'student', 'new', 'york', 'state', 'refus', 'let', 'take', 'common', 'core', 'test']",1
"['congressman', 'perriello', 'vote', 'lock', 'step', 'nanci', 'pelosi', '90', 'percent', 'time']",1
"['sen', 'marco', 'rubio', 'state', 'florida', 'alon', 'social', 'secur', 'lift', 'count', 'million', 'peopl', 'poverti']",1
"['donald', 'trump', 'would', 'engag', 'riski', 'scheme', 'privat', 'social', 'secur']",0
"['massachusett', 'school', 'rank', '1', '50', 'state']",1
"['immigr', 'would', 'contract', 'popul', '...']",0
"['major', 'peopl', 'come', 'arizona', 'trespass', 'becom', 'drug', 'mule']",0
"['rhode', 'island', 'give', 'undocu', 'pregnant', 'women', 'health', 'insur', 'plu', 'cash', 'card', 'month', 'month', 'month', 'spend', 'food']",0
"['say', 'mark', 'pryor', 'continu', 'insist', 'obamacar', 'amaz', 'success']",0
"['inch', 'away', 'longer', 'free', 'economi']",0
"['unit', 'state', 'lead', 'nation', 'world', 'highest', 'amount', 'doubt', 'convent', 'wisdom', 'climat', 'chang']",1
"['u', 'justic', 'depart', 'taken', '100', 'vote', 'right', 'case', 'sinc', '2009']",1
"['averag', 'take', '300', 'american', 'work', 'solid', 'year', 'make', 'much', 'money', 'one', 'top', 'ceo']",1
"['say', 'barack', 'obama', 'play', '90', 'round', 'golf', 'presid']",1
"['team', 'trump', 'accus', 'ted', 'cruz', 'fraud', 'iowa', 'texa', 'colorado', 'oklahoma', 'louisiana', 'kansa', 'main', 'utah', 'wisconsin']",1
"['year', 'redistrict', 'open', 'interact', 'transpar', 'redistrict', 'process', 'tennesse', 'histori']",0
"['econom', 'sanction', 'iran', 'suffer', '30', 'percent', 'inflat', '20', 'percent', 'unemploy']",1
"['say', 'wisconsin', 'governor', 'end', 'welfar']",1
"['18th', 'congression', 'district', '100', 'electr', 'gener', 'come', 'coal']",1
"['folk', 'washington', 'alreadi', 'forc', 'buy', 'govern', 'health', 'care']",0
"['say', 'presid', 'barack', 'obama', 'first', 'presid', 'weve', 'ever', 'think', 'choos', 'law', 'enforc', 'law', 'ignor']",0
"['45', 'percent', 'illeg', 'immigr', 'peopl', 'physic', 'cross', 'southern', 'border', 'northern', 'border', 'visa', 'overstay']",1
"['charli', 'crist', 'work', 'acorn', 'give', 'felon', 'vote', 'right']",0
"['support', 'gay', 'marriag']",0
"['year', 'ad', 'averag', '200,000', 'job', 'per', 'month', 'major', 'privat', 'sector', 'stark', 'contrast', 'bush', 'administr', 'record', 'lose', 'averag', 'nearli', '750,000', 'job', 'per', 'month', 'last', 'three', 'month']",1
"['republican', 'congress', 'refus', 'list', 'singl', 'tax', 'loophol', 'will', 'close']",1
"['say', 'hillari', 'clinton', 'iran', 'nuclear', 'deal', 'line', 'pocket', 'world', 'number', 'one', 'state', 'sponsor', 'terror', 'money']",0
"['obama', 'think', 'nation', 'anthem', ""i'd"", 'like', 'teach', 'world', 'sing']",0
"['right', 'america', '1', 'trillion', 'student', 'debt', 'that', 'credit', 'card', 'debt']",1
"['twenty-six', 'men', 'name', 'william', 'elect', 'statewid', 'offic', 'seven', 'women', 'honor']",1
"['obama', 'took', 'offic', 'economi', 'unit', 'state', 'actual', 'shrink', 'first', 'time', '70', 'year']",0
"['say', 'marco', 'rubio', 'said', 'felon', 'vote', 'right', 'restor', 'convict', 'felon', 'allow', 'gun', 'done', 'time']",0
"['twice', 'much', 'feder', 'money', 'go', 'back', 'hawaii', 'virginia', 'alaska', 'come', 'home', 'oregon']",1
"['didnt', 'inherit', 'money', 'parent']",1
"['tri', 'pay', 'trillion', 'hand', 'per', 'second', 'would', 'take', '31,000', 'year']",1
"['cant', 'put', 'gun', 'rack', 'chevrolet', 'volt']",0
"['tax', 'penalti', 'govern', 'impos', 'dont', 'buy', 'health', 'insur', 'lower', 'would', 'cost', 'buy', 'insur']",1
"['israel', 'seen', '90', 'percent', 'reduct', 'terrorist', 'attack', 'attribut', 'build', '500', 'mile', 'fenc']",1
"['newt', 'gingrich', 'say', 'electr', 'co-op', 'credit', 'union', 'government-sponsor', 'enterpris', 'like', 'freddi', 'mac']",0
"['attempt', 'find', 'thing', 'like', 'crime', 'crimin', 'activ', 'indict', 'filter', 'googl', 'favor', 'hillari', 'clinton']",0
"['nation', 'scienc', 'foundat', 'spent', '2', 'million', 'pay', 'senior', 'play', 'world', 'warcraft', 'studi', 'impact', 'brain']",0
"['govern', 'right', '. . .', 'spend', '40', 'percent', 'take']",1
"['biggest', 'contribut', 'behind', 'decreas', 'u', 'unemploy', '1.2', 'million', 'peopl', 'leav', 'workforc']",0
"['choos', 'obamacar', 'expans', '600,000', 'lose', 'elig', 'subsidi', '257,000', 'would', 'forc', 'medicaid']",1
"['say', 'u', 'postal', 'servic', 'taken', 'taxpay', 'aid', 'sinc', '1971', 'fund', 'oper', 'entir', 'sale', 'stamp', 'relat', 'product', 'make', 'oper', 'profit', 'year', 'year']",0
"['california', 'seen', '56', 'percent', 'declin', 'gun', 'murder', 'rate', 'sinc', '1990']",1
"['drug', 'overdos', 'second-most', 'common', 'caus', 'death', 'new', 'hampshir']",0
"['congressman', 'cicillin', 'mayor', 'provid', 'espous', 'sanctuari', 'citi']",0
"['say', 'oppon', 'dorman', 'grace', 'brag', 'facebook', 'page', 'receiv', 'illeg', 'campaign', 'contribut']",1
"['say', '70', 'percent', 'virginia', 'medicaid', 'cost', 'senior', 'nurs', 'home']",0
"['l', 'ess', 'one-tenth', 'atlanta', 'transport', 'need', 'cover', 'referendum', 'levi', '1', 'cent', 'sale', 'tax']",1
"['two-third', 'alien', 'obama', 'administr', 'brought', 'unit', 'state', 'presid', 'central', 'american', 'minor', 'program', 'werent', 'actual', 'minor']",1
"['say', 'chri', 'abel', 'oppon', 'milwauke', 'counti', 'execut', 'race', 'fail', 'finish', '3', 'separ', 'colleg', 'drop', '3', 'time']",1
"['obama', 'sign', 'bill', 'forgiv', 'student', 'loan', 'debt']",0
"['agallup', 'report', 'recent', 'said', 'nearli', '50', 'percent', 'small', 'busi', 'owner', 'arent', 'hire', 'call', 'regulatori', 'uncertainti']",1
"['obama', 'say', 'iran', 'tini', 'countri', 'pose', 'seriou', 'threat']",0
"['say', 'mitt', 'romney', 'arizona', 'said', 'believ', 'state', 'sb', '1070', 'immigr', 'law', 'model', 'nation', 'immigr', 'law']",0
"['toomey', 'cross', 'parti', 'line', 'stop', 'gun', 'sale', 'suspect', 'terror', 'watch', 'list']",0
"['two-third', 'peopl', 'start', 'minimum', 'wage', 'minimum', 'wage', 'within', 'year']",1
"['state', 'georgia', 'lost', '16', 'percent', 'employe', 'last', 'year', 'percentag', 'risen', 'past', 'three', 'year']",1
"['say', 'he', 'licens', 'firearm', 'dealer', 'america', 'run', 'congress']",1
"['releas', 'photograph', 'depict', 'abus', 'prison']",0
"['say', 'attorney', 'gener', 'candid', 'jon', 'richard', 'went', 'far', 'say', 'would', 'enforc', 'law', 'person', 'agre']",0
"['pass', 'rate', 'high', 'school', 'level', 'test', 'join', 'militari', '35', '40', 'percent']",0
"[""we'v"", 'got', '37', 'million', 'fellow', 'citizen', 'live', 'poverti', '12', 'million', '13', 'million', 'children']",1
"['cicillin', 'continu', 'accept', 'hundr', 'thousand', 'dollar', 'lobbyist', 'corpor', 'pac', 'insid', 'money', 'fund', 'campaign']",0
"['borrow', '2015-17', 'state', 'budget', 'less', 'half', 'predecessor', 'last', 'budget', 'lowest', 'decad']",1
"['say', 'feder', 'govern', 'mandat', 'transexu', 'sic', 'homosexu', 'grab', 'children', 'stranger-dang', 'zone', 'name', 'airport', 'secur']",0
"['everi', 'year', 'sinc', 'gov', 'walker', 'republican', 'control', 'legislatur', 'weve', 'creat', 'fewer', 'job', 'accord', 'bureau', 'labor', 'statist']",0
"['claim', 'joe', 'biden', 'said', 'coal', 'danger', 'terrorist']",0
"['obama', 'campaign', 'tactic', 'ralli', 'voter', 'offer', 'cell', 'phone']",0
"['isnt', 'schedul', 'narcot', 'job', 'congress']",1
"['higher', 'beer', 'product', 'higher', 'consumpt', 'go', 'hand-in-hand']",0
"['see', 'decreas', 'violent', 'crime']",1
"['say', 'there', 'billion', 'privat', 'invest', 'along', 'streetcar']",0
"['say', 'arkansa', 'republican', 'rep', 'tom', 'cotton', 'vote', 'provid', 'congress', 'taxpayer-fund', 'health', 'care', 'life']",0
"['israel', 'per', 'capita', 'incom', 'greater', 'probabl', 'three-fourth', 'rest', 'world']",1
"['well', '90', 'percent', 'feloni', 'case', 'nation', 'commit', 'defend', 'grew', 'father-abs', 'household']",0
"['first', 'interview', 'presid', 'barack', 'obama', 'chose', 'arab', 'tv', 'apolog']",0
"['georgia', 'track', '1,200', 'traffic', 'fatal', 'year', 'revers', 'nine', 'year', 'declin']",1
"['busi', 'close', 'open', 'virginia', 'today']",0
"['record', 'number', 'peopl', 'live', 'poverti']",1
"['obama', 'serv', 'board', 'former', 'weather', 'underground', 'member', 'william', 'ayer', 'relationship', 'mr', 'ayer', 'board', 'continu', '9/11']",1
"['say', 'obama', 'broke', 'promis', 'offer', 'comprehens', 'immigr', 'bill', 'first', 'year']",1
"['media', 'wont', 'publish', 'real', 'photo', 'trayvon', 'martin', 'tattoo', 'face']",0
"['rand', 'paul', 'support', 'obama', 'negoti', 'iran']",0
"['social', 'secur', 'project', 'remain', 'solvent', '2033', 'whitehous', 'cosponsor', 'bill', '. . .', 'would', 'extend', 'life', 'program', 'addit', '75', 'year']",1
"['singl', 'parent', 'coupl', 'kid', 'easili', 'get', '000', 'year', 'public', 'assist', 'wisconsin']",0
"['polic', 'unit', 'state', 'allow', 'use', 'tear', 'ga', 'even', 'though', 'classifi', 'chemic', 'weapon', 'ban', 'intern', 'conflict', 'sinc', '1993']",1
"['say', 'hillari', 'clinton', 'vicious', 'attack', 'women', 'abus', 'bill', 'clinton']",0
"['letter', 'bp', 'miner', 'manag', 'servic', 'actual', 'recommend', 'improv', 'specif', 'recommend', 'around', 'safeti', 'regul', 'choos', 'chang']",0
"['pass', 'without', 'frankli', 'help', 'republican', 'caucu', 'pass', '25', 'tax', 'cut', 'last', 'year', 'mostli', 'aim', 'middl', 'class', 'small', 'busi']",1
"['iran', 'deal', 'israel', 'attack', 'iran', 'suppos', 'iran', 'side']",0
"['nobodi', 'suffer', 'last', 'injuri', 'cia', 'interrog', 'program']",0
"['im', 'one', 'name', 'call']",0
"['say', 'sen', 'pat', 'toomey', 'even', 'tri', 'shut', 'feder', 'govern', 'order', 'elimin', 'fund', 'plan', 'parenthood']",0
"['wisconsin', 'one', 'progress', 'tax', 'code', 'countri']",1
"['year', 'kagan', 'bar', 'militari', 'recruit', 'harvard', 'law', ""school'"", 'offic', 'career', 'servic', 'militari', 'recruit', 'actual', 'went']",1
"['isi', 'reach', '100', 'million', 'peopl', 'day', 'social', 'media']",1
"['texa', 'ad', 'job', '2010', 'state']",1
"['primari', 'elect', 'right-w', 'group', 'spent', '000,000', 'support', 'suprem', 'court', 'justic', 'rebecca', 'bradley']",0
"['brendan', 'doherti', 'want', 'rais', 'elig', 'age', 'social', 'secur', 'benefit', 'anyon', 'born', '1960', 'regard', 'challeng', 'would', 'caus', 'peopl', 'work', 'physic', 'demand', 'occup']",0
"['say', 'sam', 'houston', 'oppos', 'slaveri', 'governor', 'said', 'texa', 'leav', 'union', 'slaveri']",1
"['nation', 'debt', 'low', 'sinc', 'world', 'war', 'ii']",0
"['everi', 'time', 'peopl', 'newport', 'tent', 'work', 'citi', 'town', 'whole', 'differ', 'set', 'permit', 'get', 'order', 'pitch', 'tent']",1
"['debbi', 'jackow', 'unlik', 'oppon', '...', 'de-fund', '20/20', 'land', 'program']",0
"['averag', 'age', 'child', 'traffick', 'commerci', 'sex', 'trade', 'industri', '11', '14', 'year', 'old']",1
"['say', '99', 'percent', 'time', 'polic', 'offic', 'arent', 'charg', 'kill', 'young', 'peopl', 'color']",1
"['six', 'justic', 'u', 'suprem', 'court', 'confirm', 'presidenti', 'elect', 'year', 'sinc', '1912']",1
"['properti', 'tax', '18', 'higher', 'mark', 'sharp', 'first', 'took', 'offic']",0
"['minimum', 'number', 'infrastructur', 'need', 'atlanta', 'million']",1
"['firefight', 'polic', 'offic', 'pension', 'system', 'head', 'bankruptci', 'far', 'that', 'new', 'jersey', 'first', 'respond', 'fire', 'fighter', 'polic', 'offic', 'never', 'miss', 'make', 'payment', 'retir', 'system']",1
"['truth', 'reveal', 'report', 'show', 'unlaw', 'uneth', 'activ', 'part']",0
"['say', 'donald', 'trump', 'said', 'intend', 'open', 'addit', 'area', 'coast', 'oil', 'drill', 'campaign']",1
"['stat', 'per', 'popul', 'kill', 'gun', 'rate', '297x', 'japan', '49x', 'franc', '33x', 'israel']",1
"['student', 'today', 'take', 'year', 'get', 'colleg']",0
"['say', 'rick', 'perri', 'flip-flop', 'gay', 'marriag', 'first', 'say', 'state', 'right', 'issu', 'say', 'favor', 'feder', 'constitut', 'amend', 'ban', 'gay', 'marriag']",0
"['congress', 'decis', 'spend', 'less', 'around', 'world', 'embassi', 'secur', 'contribut', 'tragedi', 'like', 'benghazi']",0
"['unit', 'state', '100th', 'voter', 'turnout', 'among', 'industri', 'nation', 'texa', 'near', 'bottom', 'term', 'voter', 'registr', 'voter', 'turnout']",1
"['barack', ""obama'"", 'plan', 'govern', 'would', 'spend', 'trillion']",1
"['2011', 'nj', 'economi', 'rank', '47th', 'bottom', 'alabama', 'mississippi', 'wyom', 'christi', 'nj', 'fall', 'behind']",1
"['there', 'never', 'u', 'suprem', 'court', 'vacanc', 'last', 'think', '30', 'year', 'last', 'longer', '237', 'day']",1
"['nearli', '60', 'occup', 'hud', 'properti', 'u', 'illeg']",0
"['oregon', 'famili', 'pay', 'extra', '400', 'year', 'higher', 'insur', 'premium', 'cover', 'insur']",1
"['soon', 'chri', 'christi', 'governor', 'gave', 'tax', 'cut', 'millionair']",1
"['nineti', 'percent', 'american', 'want', 'background', 'check', 'system', 'strengthen', 'expand', 'cover', 'gun', 'sale']",1
"['80', 'percent', 'trade', 'deficit', 'today', 'countri', 'trade', 'agreement', 'partner', 'level', 'play', 'field', 'unit', 'state']",1
"['say', 'ken', 'cuccinelli', 'want', 'elimin', 'form', 'birth', 'control']",0
"['bill', 'would', 'halt', 'epa', 'regul', 'greenhous', 'gase', 'would', 'help', 'stop', 'rise', 'ga', 'price']",0
"['measl', 'vaccin', 'kill', '108', 'peopl', 'last', 'decad', 'one', 'die', 'measl']",0
"['next', 'two', 'year', 'state', 'end', 'structur', 'surplu', 'million']",1
"['virginia', 'billion', 'dollar', 'surplu', 'last', 'three', 'year', 'legislatur', 'spent', 'less', '1', 'percent', 'road']",0
"['virginia', 'women', 'earnonli', '79', 'cent', 'dollar', 'earn', 'men', '...']",1
"['say', 'oil', 'product', 'obama', 'charg']",1
"['everi', 'major', 'countri', 'famili', 'paid', 'leav']",1
"['say', 'pictur', 'post', 'facebook', 'man', 'pose', 'front', 'five', 'decapit', 'human', 'head', 'one', 'subhuman', 'mongrel', 'presid', 'set', 'free']",0
"['say', 'presid', 'barack', 'obama', 'tenur', 'unit', 'state', 'creat', '15', 'million', 'new', 'job']",1
"['nation', 'debt', 'realli', 'ad', 'trillion', '2010', 'track', 'hit', 'trillion', 'year']",0
"['presid', 'barack', 'obama', 'order', 'militari', 'enlist', 'illeg', 'alien']",0
"['govern', 'panel', 'includ', 'cancer', 'specialist', 'say', 'women', 'receiv', 'mammogram', 'age', '50', '...', 'govern', 'take', 'health', 'care', 'recommend', 'like', 'could', 'becom', 'law', 'kind', 'diseas']",0
"['governor', 'cut', 'fund', 'repeatedli', 'peopl', 'aid', 'need', 'drug', 'save', 'life']",1
"['dozen', 'district', 'go', '150', '200', 'mile', 'split', 'counti', 'splinter', 'citi', 'connect', 'area', 'littl', 'common']",1
"['congress', 'gave', 'unelect', 'board', 'power', 'deni', 'care', 'senior']",1
"['never', 'said', 'falkland', 'island']",1
"['state', 'florida', 'third-largest', 'state', 'surpass', 'new', 'york', 'popul']",0
"['latest', 'quinnipiac', 'poll', 'found', 'nearli', 'six-in-ten', 'american', 'oppos', 'obamacar', '30', 'support', 'law', '57', 'oppos']",1
"['say', 'wisconsin', 'senat', 'recal', 'candid', 'jessica', 'king', 'vote', 'increas', 'pay', 'taxpay', 'dollar', '63', 'percent']",0
"['say', 'barack', 'obama', 'began', 'presid', 'apolog', 'tour']",0
"['texa', 'law', 'repatri', 'billion', 'gold', 'bullion', 'feder', 'reserv', 'new', 'york', 'texa']",0
"['major', 'hispan', 'popul', 'growth', 'popul', 'u', 'born']",1
"['say', 'barack', 'obama', 'administr', 'admit', 'money', 'iran', 'nuclear', 'deal', 'would', 'go', 'directli', 'terror']",1
"['bridg', 'nowher', 'could', 'occur']",0
"['joe', 'kyrillo', 'opportun', 'vote', 'women', 'term', 'health', 'care', 'twice', 'six', 'time', 'vote', 'women', 'health', 'care', 'state']",1
"['come', 'classifi', 'inform', 'state', 'depart', 'hillari', 'clinton', 'decid']",1
"['right', 'im', 'poll', '8', 'percent', 'barack', 'obama', 'mitt', 'romney']",0
"['food', 'stamp', 'gone', 'two-and-a-half', 'time', 'barack', 'obama']",0
"['38', 'studio', 'deal', 'wall', 'street', 'investor', 'took', 'risk', 'went', 'bust']",0
"['say', 'presid', 'barack', 'obama', 'broke', 'promis', 'keep', 'wisconsin', 'gm', 'plant', 'close']",0
"['weight', 'evid', 'global', 'warm', 'mayb', 'natur', 'caus', '...', 'fair', 'say', 'scienc', 'disput']",0
"['merced', 'said', 'high', 'tax', 'cost', 'busi', 'new', 'jersey', 'work', 'georgia', 'advantag', 'land', 'compani', 'usa', 'corpor', 'headquart']",1
"['state', 'depart', 'offici', 'actual', 'direct', 'contract', 'haitian', 'recoveri', 'earthquak', 'friend', 'clinton']",0
"['feder', 'govern', 'make', 'decis', 'whether', 'like', 'send', '425', 'refuge', 'state', 'syria']",1
"['beer', 'drink', 'allow', 'illinoi', 'state', 'park']",0
"['say', 'u', 'senat', 'rival', 'tommi', 'thompson', 'ran', 'medicar', 'ground', 'nine', 'year', 'closer', 'bankruptci']",0
"['new', 'dollar', 'coin', 'god', 'trust', 'gone']",0
"['freshman', 'rep', 'bob', 'gibb', 'spend', 'one', 'year', 'anniversari', 'vacat', 'work', '6', 'day', 'januari']",0
"['earli', 'vote', 'remain', '96', 'hour']",0
"['say', 'obama', 'flip-flop', 'ban', 'handgun']",1
"['remain', 'one', 'poorer', 'member', 'unit', 'state', 'senat']",1
"['georgia', 'dome', 'return', 'billion', 'econom', 'impact', 'state', 'georgia']",0
"['happen', 'peopl', 'like', 'warren', 'buffett', 'say', '...', 'pay', '15', 'percent', 'million', 'dollar', 'earn', 'wealth', 'incom', '...', 'secretari', 'pay', 'higher', 'rate', 'work', 'incom', 'right']",1
"['western', 'countri', 'end', 'ask', 'tell', 'polici']",1
"['u', 'borrow', 'approxim', '52', 'everi', 'econom', 'growth', 'far', '2012']",1
"['northwest', 'corridor', 'highway', 'project', 'cobb', 'cheroke', 'counti', 'expect', 'creat', '9,700', 'job', 'statewid']",0
"['presid', 'advis', 'said', 'there', 'war', 'coal']",0
"['new', 'health', 'care', 'law', '17', 'million', 'kid', 'longer', 'deni', 'pre-exist', 'condit']",0
"['say', 'hillari', 'clinton', 'propos', 'destroy', 'medicar', 'senior']",0
"['support', 'winner', 'democrat', 'primari', 'superdeleg', 'vote']",0
"['ir', 'specif', 'forbidden', '...', 'ever', 'actual', 'pursu', 'either', 'civil', 'crimin', 'remedi', 'peopl', 'dont', 'purchas', 'health', 'insur']",1
"['bill', 'advanc', 'keyston', 'xl', 'pipelin', 'earmark', 'hous', 'rule']",0
"['say', 'rick', 'scott', 'think', 'employ', 'abl', 'deni', 'women', 'coverag', 'birth', 'control']",1
"['florida', 'first', 'state', 'requir', 'drug', 'test', 'receiv', 'welfar']",0
"['say', 'hillari', 'clinton', 'want', 'rais', 'tax', 'african-american', 'own', 'busi', 'much', 'nearli', '50', 'percent', 'theyr', 'pay']",0
"['lot', 'peopl', 'go', 'prison', 'straight', 'come', 'theyr', 'gay']",0
"['saysgop', 'u', 'senat', 'candid', 'darryl', 'glenn', 'want', 'elimin', 'depart', 'educ', 'jeopard', 'colleg', 'fundingfor', '320,000', 'coloradan']",1
"['presid', 'unit', 'state', 'take', 'trip', 'india', 'expect', 'cost', 'taxpay', 'million', 'day']",0
"['michael', 'bennet', 'cast', 'decid', 'vote', 'stimulu', 'health', 'care', 'bill']",0
"['white', 'peopl', 'control', 'almost', '90', 'percent', 'nation', 'wealth']",1
"['200', 'consum', 'law', 'destroy', '2011', 'gov', 'scott', 'walker', 'sign', 'act', '92']",0
"['congress', 'approv', 'bill', 'offer', 'free', 'car', 'welfar', 'recipi']",0
"['wisconsin', 'walk', 'away', 'dime', 'feder', 'fund', 'reject', 'obamacar', 'medicaid', 'expans']",0
"['say', '2007', 'oregon', 'rank', '25th', '7th', 'bottom', 'percentag', 'children', 'untreat', 'decay', 'compar', '32', 'state', 'similar', 'data']",0
"['say', 'suprem', 'court', 'justic', 'greg', 'abbott', 'found', 'compani', 'whose', 'vacuum', 'cleaner', 'sold', 'door', 'door', 'respons', 'hire', 'salesman', 'rape', 'custom']",1
"['origin', 'compromis', 'confeder', 'battl', 'flag', 'south', 'carolina', 'put', 'back', 'side', 'statehous', 'public', 'view', 'would', 'appear', 'sovereignti']",1
"['nine-day', 'deer', 'hunt', 'contribut', '3', 'billion', 'revenu', 'state', 'wisconsin']",1
"['weve', 'gain', 'privat', 'sector', 'job', '12', 'month', 'row']",1
"['georg', 'bush', 'sent', 'peopl', 'war', 'without', 'bodi', 'armor']",1
"['say', 'jeff', 'brand', 'vote', 'allow', 'state-run', 'citizen', 'properti', 'insur', 'dump', 'polici', 'onto', 'out-of-st', 'unregul', 'privat', 'compani']",1
"['ch', 'guevara', 'wrote', 'extens', 'superior', 'white', 'european', 'peopl', 'african', 'descent']",0
"['1947', '1979', 'famili', 'incom', 'rich', 'middle-incom', 'poor', 'american', 'grew', 'rate', 'sinc', '1979', 'incom', 'rich', 'famili', 'grown', 'much', 'faster']",1
"['hitler', 'abolish', 'union', 'that', 'wisconsin', 'gov', 'scott', 'walker', 'today']",0
"['say', 'ted', 'kennedi', 'sent', 'letter', 'soviet', 'leader', 'yuri', 'andropov', 'apolog', 'ronald', 'reagan', 'beg', 'soviet', 'overreact']",0
"['page', '92', 'hous', 'health', 'care', 'bill', 'say', 'specif', 'peopl', ""can't"", 'purchas', 'privat', 'health', 'insur', 'date', 'certain']",0
"['republican', 'went', 'way', 'prais', 'eric', 'holder', 'nomin', '. ...', 'singl', 'republican', 'senat', 'oppos', 'eric', 'holder', 'nomin']",1
"['actual', 'requir', 'law', 'carri', 'health', 'insur']",0
"['state', 'still', 'face', 'mandat', 'expand', 'medicaid', 'coverag', 'presid', 'obama', 'health', 'care', 'reform', 'law']",0
"['saystom', 'cotton', 'vote', 'prepar', 'america', 'pandem', 'like', 'ebola']",0
"['sinc', 'presid', 'obama', 'took', 'full', 'control', 'washington', 'everi', 'singl', 'day', '1,500', 'job', 'lost']",0
"['say', 'nanci', 'pelosi', 'said', 'wait', 'long', 'hour', 'emerg', 'room', 'allow', 'make', 'new', 'friend']",0
"['dream', 'act', 'written', 'member', 'parti', 'came', 'vote', 'year', 'half', 'ago', 'republican', 'congress', 'block', 'bill', 'hadnt', 'chang', '. ...', 'thing', 'chang', 'polit']",1
"['say', 'former', 'state', 'sen', 'kelli', 'ward', 'want', 'ban', 'intellig', 'agenc', 'oper', 'arizona']",0
"['70,000', 'three-year-old', 'four-year-old', 'across', 'america', 'lose', 'access', 'preschool', 'head', 'start', 'program', '. ...', '2,000', 'state', 'florida', 'alon']",1
"['betti', 'sutton', 'fellow', 'democrat', 'went', 'spend', 'spree', 'credit', 'card', 'max']",0
"['muslim', 'attempt', 'establish', 'first', 'islam', 'sharia', 'court', 'insid', 'unit', 'state', 'town', 'irv', 'texa']",0
"['sinc', 'januari', '2008', 'privat', 'sector', 'lost', 'nearli', '8', 'million', 'job', 'local', 'state', 'feder', 'govern', 'ad', '590,000']",0
"['10,000', 'rhode', 'island', 'children', 'charter', 'school', 'lotteri', 'fall', '70', 'percent', 'poor', '...', 'addit', 'major', 'student', 'color']",1
"['ye', 'would', 'congressman', 'rep', 'pete', 'hoekstra', 'last', 'year', 'tweet', 'whereabout', 'top-secret', 'mission', 'iraq']",0
"['say', 'feder', 'govern', 'could', 'save', '587', 'elimin', 'studi', 'connect', 'cocain', 'riski', 'sex', 'habit', 'japanes', 'quail']",1
"['cuba', 'embargo']",0
"['say', 'scott', 'walker', 'reject', 'legisl', 'make', 'colleg', 'loan', 'payment', 'tax', 'deduct', 'result', 'rais', 'tax', 'student']",0
"['obama', 'posit', 'nuclear', 'arm', 'march', 'toward', 'global', 'zero']",1
"['peopl', 'becom', 'citizen', 'dream', 'act', 'turn', '21', 'sponsor', 'illeg', 'immigr', 'parent', 'legal']",1
"['say', 'wisconsin', 'manufactur', 'commerc', '2014', 'survey', 'reveal', '15', 'percent', 'busi', 'execut', 'respond', 'favor', 'right-to-work', 'legisl']",0
"['capitol', 'polic', 'forc', 'go', 'far', 'use', 'paramilitari', 'equip', 'deal', 'sing', 'protest', 'madison']",0
"['ten', 'thousand', 'fraudul', 'clinton', 'vote', 'found', 'ohio', 'warehous']",0
